Cells, Parameters, Milliseconds, MaxR, NormR, MaxRTrue, NormRTrue, NormDeltaX, MaxDeltaX, MaxDeltaXOdd, MaxDeltaXEven
3, 18, 0, 2.32831e-10, 4.50875e-10, 2.32831e-10, 4.65661e-10, 1.33892e-10, 6.7871e-11, 6.7871e-11, 2.77556e-17
5, 50, 1, 1.16415e-10, 2.09871e-10, 1.45519e-10, 2.41755e-10, 5.94074e-10, 1.75419e-10, 1.75419e-10, 0
9, 162, 39, 5.82077e-11, 1.90847e-10, 7.27596e-11, 2.24967e-10, 4.4585e-09, 5.65478e-10, 5.65478e-10, 5.55112e-17
10, 200, 71, 4.36557e-11, 1.92916e-10, 4.36557e-11, 1.39577e-10, 4.96179e-09, 5.56724e-10, 5.56724e-10, 2.77556e-17
15, 450, 772, 2.54659e-11, 1.31018e-10, 2.18279e-11, 1.05877e-10, 8.23297e-09, 6.02654e-10, 6.02654e-10, 2.77556e-17
20, 800, 5705, 2.00089e-11, 1.35267e-10, 1.27329e-11, 8.36142e-11, 9.24896e-09, 5.06816e-10, 5.06816e-10, 2.77556e-17
25, 1250, 24405, 1.81899e-11, 1.25905e-10, 1.27329e-11, 9.31244e-11, 2.14047e-09, 1.01636e-10, 1.01636e-10, 8.32667e-17
30, 1800, 70916, 1.63709e-11, 1.26684e-10, 8.18545e-12, 6.82606e-11, 1.75154e-08, 6.23913e-10, 6.23913e-10, 2.77556e-17
35, 2450, 183588, 1.18234e-11, 1.17131e-10, 8.18545e-12, 7.37813e-11, 1.13541e-08, 3.58796e-10, 3.58796e-10, 0
40, 3200, 448873, 1.27329e-11, 1.16268e-10, 5.00222e-12, 5.52551e-11, 1.20078e-08, 3.39924e-10, 3.39924e-10, 0
45, 4050, 774801, 1.04592e-11, 1.35547e-10, 5.00222e-12, 6.43351e-11, 1.305e-08, 3.12752e-10, 3.12752e-10, 5.55112e-17
50, 5000, 1458995, 1.00044e-11, 1.57158e-10, 5.45697e-12, 6.64787e-11, 2.26178e-08, 5.06134e-10, 5.06134e-10, 2.77556e-17
60, 7200, 4369587, 1.22782e-11, 1.87834e-10, 4.54747e-12, 7.03519e-11, 5.55543e-08, 1.02841e-09, 1.02841e-09, 5.55112e-17
70, 9800, 10792364, 1.11413e-11, 2.04909e-10, 5.22959e-12, 8.31942e-11, 3.13836e-08, 5.73436e-10, 5.73436e-10, 1.94289e-16
80, 12800, 23660090, 1.15961e-11, 2.36243e-10, 5.68434e-12, 1.03585e-10, 2.24752e-08, 4.18481e-10, 4.18481e-10, 8.32667e-17
